target_end_date,target,location,observation
2026-05-23,insp_sitrep__cumulative_suspected_deaths__daily,Bambu,2
2026-05-23,insp_sitrep__cumulative_suspected_deaths__daily,Bunia,48
2026-05-23,insp_sitrep__cumulative_suspected_deaths__daily,Butembo,0
2026-05-23,insp_sitrep__cumulative_suspected_deaths__daily,Goma,0
2026-05-23,insp_sitrep__cumulative_suspected_deaths__daily,Katwa,0
2026-05-23,insp_sitrep__cumulative_suspected_deaths__daily,Kilo,2
2026-05-23,insp_sitrep__cumulative_suspected_deaths__daily,Miti Murhesa,0
2026-05-23,insp_sitrep__cumulative_suspected_deaths__daily,Mongbwalu,88
2026-05-23,insp_sitrep__cumulative_suspected_deaths__daily,Nizi,2
2026-05-23,insp_sitrep__cumulative_suspected_deaths__daily,Nyankunde,8
2026-05-23,insp_sitrep__cumulative_suspected_deaths__daily,Rwampara,69
2026-05-23,insp_sitrep__hospitalised__daily,Aru,2
2026-05-23,insp_sitrep__hospitalised__daily,Bunia,50
2026-05-23,insp_sitrep__hospitalised__daily,Mongbwalu,31
2026-05-23,insp_sitrep__hospitalised__daily,Nyankunde,33
2026-05-23,insp_sitrep__hospitalised__daily,Rwampara,25
2026-05-23,insp_sitrep__national_cumulative_confirmed_cases__daily,DRC,101
2026-05-23,insp_sitrep__national_cumulative_confirmed_deaths__daily,DRC,10
2026-05-23,insp_sitrep__national_cumulative_suspected_cases__daily,DRC,904
2026-05-23,insp_sitrep__new_hosp_admissions__daily,Aru,0
2026-05-23,insp_sitrep__new_hosp_admissions__daily,Bunia,9
2026-05-23,insp_sitrep__new_hosp_admissions__daily,Mongbwalu,3
2026-05-23,insp_sitrep__new_hosp_admissions__daily,Nyankunde,7
2026-05-23,insp_sitrep__new_hosp_admissions__daily,Rwampara,4
2026-05-24,insp_sitrep__cumulative_confirmed_cases__daily,Aru,1
2026-05-24,insp_sitrep__cumulative_confirmed_cases__daily,Bambu,2
2026-05-24,insp_sitrep__cumulative_confirmed_cases__daily,Bunia,24
2026-05-24,insp_sitrep__cumulative_confirmed_cases__daily,Butembo,3
2026-05-24,insp_sitrep__cumulative_confirmed_cases__daily,Goma,1
2026-05-24,insp_sitrep__cumulative_confirmed_cases__daily,Kalunguta,1
2026-05-24,insp_sitrep__cumulative_confirmed_cases__daily,Katwa,4
2026-05-24,insp_sitrep__cumulative_confirmed_cases__daily,Kilo,1
2026-05-24,insp_sitrep__cumulative_confirmed_cases__daily,Miti Murhesa,1
2026-05-24,insp_sitrep__cumulative_confirmed_cases__daily,Mongbwalu,19
2026-05-24,insp_sitrep__cumulative_confirmed_cases__daily,Nizi,2
2026-05-24,insp_sitrep__cumulative_confirmed_cases__daily,Nyankunde,9
2026-05-24,insp_sitrep__cumulative_confirmed_cases__daily,Oicha,1
2026-05-24,insp_sitrep__cumulative_confirmed_cases__daily,Rwampara,32
2026-05-24,insp_sitrep__cumulative_confirmed_deaths__daily,Bambu,0
2026-05-24,insp_sitrep__cumulative_confirmed_deaths__daily,Bunia,2
2026-05-24,insp_sitrep__cumulative_confirmed_deaths__daily,Butembo,0
2026-05-24,insp_sitrep__cumulative_confirmed_deaths__daily,Goma,0
2026-05-24,insp_sitrep__cumulative_confirmed_deaths__daily,Katwa,0
2026-05-24,insp_sitrep__cumulative_confirmed_deaths__daily,Kilo,0
2026-05-24,insp_sitrep__cumulative_confirmed_deaths__daily,Komanda,1
2026-05-24,insp_sitrep__cumulative_confirmed_deaths__daily,Miti Murhesa,0
2026-05-24,insp_sitrep__cumulative_confirmed_deaths__daily,Mongbwalu,0
2026-05-24,insp_sitrep__cumulative_confirmed_deaths__daily,Nizi,0
2026-05-24,insp_sitrep__cumulative_confirmed_deaths__daily,Nyankunde,0
2026-05-24,insp_sitrep__cumulative_confirmed_deaths__daily,Rwampara,2
2026-05-24,insp_sitrep__cumulative_suspected_cases__daily,Aru,4
2026-05-24,insp_sitrep__cumulative_suspected_cases__daily,Bambu,6
2026-05-24,insp_sitrep__cumulative_suspected_cases__daily,Bunia,249
2026-05-24,insp_sitrep__cumulative_suspected_cases__daily,Butembo,7
2026-05-24,insp_sitrep__cumulative_suspected_cases__daily,Goma,0
2026-05-24,insp_sitrep__cumulative_suspected_cases__daily,Katwa,0
2026-05-24,insp_sitrep__cumulative_suspected_cases__daily,Kilo,8
2026-05-24,insp_sitrep__cumulative_suspected_cases__daily,Miti Murhesa,1
